Dataset ID,Collection,Dataset Name,Languages,Text Sources,Model Generated,Derived from Datasets,License Use (DataProvenance),License Use (GitHub),Licenses,GitHub License,Dataset URL,GitHub URL,ArXiv URL
tsi-quote_repetition,Tasksource Instruct,tsi-quote_repetition,['English'],[],[],[],commercial,,"[{'License': 'CC BY 4.0', 'License URL': 'https://github.com/inverse-scaling/prize/blob/main/LICENSE'}]",,https://huggingface.co/datasets/inverse-scaling/quote-repetition,,
tsi-redefine_math,Tasksource Instruct,tsi-redefine_math,['English'],[],[],[],commercial,,"[{'License': 'CC BY 4.0', 'License URL': 'https://github.com/inverse-scaling/prize/blob/main/LICENSE'}]",,https://huggingface.co/datasets/inverse-scaling/redefine-math,,
tsi-tracie,Tasksource Instruct,tsi-tracie,['English'],['crowdsourced'],[],['ROCStories dataset'],commercial,commercial,"[{'License': 'Unspecified', 'License URL': None}]",Apache License 2.0,https://github.com/allenai/aristo-leaderboard/tree/master/tracie/data,https://github.com/allenai/aristo-leaderboard/tree/master/tracie/data,https://arxiv.org/abs/2010.12753
tsi-winowhy,Tasksource Instruct,tsi-winowhy,['English'],"['winograd schema challenge dataset', 'conceptnet', 'crowdsourced']",[],[],commercial,commercial,"[{'License': 'Unspecified', 'License URL': None}]",MIT License,https://github.com/HKUST-KnowComp/WinoWhy,https://github.com/HKUST-KnowComp/WinoWhy,https://arxiv.org/abs/2005.05763
tsi-cladder,Tasksource Instruct,tsi-cladder,['English'],[],[],[],commercial,commercial,"[{'License': 'Unspecified', 'License URL': None}]",MIT License,https://github.com/causalNLP/cladder,https://github.com/causalNLP/cladder,
tsi-few_nerd-supervised,Tasksource Instruct,tsi-few_nerd-supervised,['English'],['wikipedia.org'],[],[],commercial,,"[{'License': 'CC BY-SA 4.0', 'License URL': 'https://ningding97.github.io/fewnerd/'}]",,https://ningding97.github.io/fewnerd/,https://ningding97.github.io/fewnerd/,https://arxiv.org/abs/2105.07464
tsy-recast-recast_verbnet,Tasksource Symbol-Tuning,tsy-recast-recast_verbnet,['English'],[],[],[],commercial,,"[{'License': 'CC BY-SA 4.0', 'License URL': 'https://github.com/decompositional-semantics-initiative/decomp#license'}]",,http://decomp.io/,https://github.com/decompositional-semantics-initiative/DNC/raw/master/inference_is_everything.zip,
tsy-recast-recast_verbcorner,Tasksource Symbol-Tuning,tsy-recast-recast_verbcorner,['English'],[],[],[],commercial,,"[{'License': 'CC BY-SA 4.0', 'License URL': 'https://github.com/decompositional-semantics-initiative/decomp#license'}]",,https://huggingface.co/datasets/metaeval/recast,https://github.com/decompositional-semantics-initiative/DNC/raw/master/inference_is_everything.zip,
tsy-recast-recast_ner,Tasksource Symbol-Tuning,tsy-recast-recast_ner,['English'],[],[],[],commercial,,"[{'License': 'CC BY-SA 4.0', 'License URL': 'https://github.com/decompositional-semantics-initiative/decomp#license'}]",,https://huggingface.co/datasets/metaeval/recast,https://github.com/decompositional-semantics-initiative/DNC/raw/master/inference_is_everything.zip,
tsy-recast-recast_sentiment,Tasksource Symbol-Tuning,tsy-recast-recast_sentiment,['English'],[],[],[],commercial,,"[{'License': 'CC BY-SA 4.0', 'License URL': 'https://github.com/decompositional-semantics-initiative/decomp#license'}]",,https://huggingface.co/datasets/metaeval/recast,https://github.com/decompositional-semantics-initiative/DNC/raw/master/inference_is_everything.zip,
tsy-recast-recast_puns,Tasksource Symbol-Tuning,tsy-recast-recast_puns,['English'],[],[],[],commercial,,"[{'License': 'CC BY-SA 4.0', 'License URL': 'https://github.com/decompositional-semantics-initiative/decomp#license'}]",,https://huggingface.co/datasets/metaeval/recast,https://github.com/decompositional-semantics-initiative/DNC/raw/master/inference_is_everything.zip,
tsy-recast-recast_factuality,Tasksource Symbol-Tuning,tsy-recast-recast_factuality,['English'],[],[],[],commercial,,"[{'License': 'CC BY-SA 4.0', 'License URL': 'https://github.com/decompositional-semantics-initiative/decomp#license'}]",,https://huggingface.co/datasets/metaeval/recast,https://github.com/decompositional-semantics-initiative/DNC/raw/master/inference_is_everything.zip,
tsy-recast-recast_megaveridicality,Tasksource Symbol-Tuning,tsy-recast-recast_megaveridicality,['English'],[],[],[],commercial,,"[{'License': 'CC BY-SA 4.0', 'License URL': 'https://github.com/decompositional-semantics-initiative/decomp#license'}]",,https://huggingface.co/datasets/metaeval/recast,https://github.com/decompositional-semantics-initiative/DNC/raw/master/inference_is_everything.zip,
tsy-breaking_nli,Tasksource Symbol-Tuning,tsy-breaking_nli,['English'],['crowdsourced'],[],['SNLI'],commercial,,"[{'License': 'CC BY-SA 4.0', 'License URL': 'https://github.com/BIU-NLP/Breaking_NLI#data-source'}]",,https://github.com/BIU-NLP/Breaking_NLI,https://github.com/BIU-NLP/Breaking_NLI,https://arxiv.org/abs/1805.02266
tsy-conj_nli,Tasksource Symbol-Tuning,tsy-conj_nli,['English'],['wikipedia.org'],[],[],commercial,commercial,"[{'License': 'Unspecified', 'License URL': None}]",MIT License,https://github.com/swarnaHub/ConjNLI,https://github.com/swarnaHub/ConjNLI,https://arxiv.org/abs/2010.10418
tsy-fracas,Tasksource Symbol-Tuning,tsy-fracas,['English'],[],[],[],commercial,commercial,"[{'License': 'Unspecified', 'License URL': None}]",MIT License,https://github.com/felipessalvatore/NLI_datasets,https://github.com/felipessalvatore/NLI_datasets,
