Dataset ID,Collection,Dataset Name,Languages,Text Sources,Model Generated,Derived from Datasets,License Use (DataProvenance),License Use (GitHub),Licenses,GitHub License,Dataset URL,GitHub URL,ArXiv URL
fc-sni-ancora_ca_ner,Flan Collection (Super-NaturalInstructions),fc-sni-ancora_ca_ner,"['Catalan', 'English']",[],[],[],commercial,,"[{'License': 'CC BY 4.0', 'License URL': 'https://zenodo.org/record/4761746'}]",,https://huggingface.co/datasets/bsc/ancora-ca-ner,,
fc-sni-anem,Flan Collection (Super-NaturalInstructions),fc-sni-anem,['English'],[],[],[],commercial,commercial,"[{'License': 'CC BY-SA 3.0', 'License URL': 'https://github.com/juand-r/entity-recognition-datasets/blob/master/data/AnEM/LICENSE'}]",MIT License,https://github.com/juand-r/entity-recognition-datasets/tree/master/data/AnEM,https://github.com/juand-r/entity-recognition-datasets/tree/master/data/AnEM,
fc-sni-argkp,Flan Collection (Super-NaturalInstructions),fc-sni-argkp,['English'],[],[],[],commercial,commercial,"[{'License': 'CC BY-SA 3.0', 'License URL': 'https://research.ibm.com/haifa/dept/vst/debating_data.shtml'}]",Apache License 2.0,https://github.com/IBM/KPA_2021_shared_task,https://github.com/IBM/KPA_2021_shared_task,https://arxiv.org/abs/2005.01619
fc-sni-asian_language_treebank,Flan Collection (Super-NaturalInstructions),fc-sni-asian_language_treebank,"['Indonesian', 'Japanese', 'English']",[],[],[],commercial,,"[{'License': 'CC BY 4.0', 'License URL': 'https://www2.nict.go.jp/astrec-att/member/mutiyama/ALT/'}]",,https://www2.nict.go.jp/astrec-att/member/mutiyama/ALT/,,
fc-sni-atomic,Flan Collection (Super-NaturalInstructions),fc-sni-atomic,['English'],"['crowdsourced', 'conceptnet']",[],['Atomic (Sap et al 2019)'],commercial,,"[{'License': 'CC BY 4.0', 'License URL': 'https://allenai.org/data/atomic-2020'}]",,https://allenai.org/data/atomic-2020,,https://arxiv.org/abs/2010.05953
fc-sni-bard,Flan Collection (Super-NaturalInstructions),fc-sni-bard,['English'],[],[],[],commercial,commercial,"[{'License': 'Apache License 2.0', 'License URL': 'https://github.com/NancyFulda/BYU-Analogical-Reasoning-Dataset/blob/master/LICENSE'}]",Apache License 2.0,https://github.com/NancyFulda/BYU-Analogical-Reasoning-Dataset,https://github.com/NancyFulda/BYU-Analogical-Reasoning-Dataset,
fc-sni-cedr,Flan Collection (Super-NaturalInstructions),fc-sni-cedr,"['Russian', 'English']",[],[],[],commercial,commercial,"[{'License': 'Unspecified', 'License URL': 'https://www.sciencedirect.com/science/article/pii/S1877050921013247'}]",Apache License 2.0,https://github.com/sag111/CEDR,https://github.com/sag111/CEDR,
fc-sni-circa,Flan Collection (Super-NaturalInstructions),fc-sni-circa,['English'],['crowdsourced'],[],[],commercial,,"[{'License': 'CC BY-SA 4.0', 'License URL': 'https://github.com/google-research-datasets/circa#license'}]",,https://huggingface.co/datasets/circa,,https://arxiv.org/abs/2010.03450
fc-sni-clue_cmrc2018,Flan Collection (Super-NaturalInstructions),fc-sni-clue_cmrc2018,"['Chinese', 'English']",['wikipedia.org'],[],[],commercial,commercial,"[{'License': 'Unspecified', 'License URL': 'https://aclanthology.org/D19-1600.pdf'}]",CC BY-SA 4.0,https://github.com/ymcui/cmrc2018,https://github.com/ymcui/cmrc2018,https://arxiv.org/abs/1810.07366
fc-sni-coached_conv_pref,Flan Collection (Super-NaturalInstructions),fc-sni-coached_conv_pref,['English'],['crowdsourced'],[],[],commercial,,"[{'License': 'CC BY 4.0', 'License URL': 'https://github.com/google-research-datasets/ccpe#copyright-notice'}]",,https://research.google/tools/datasets/coached-conversational-preference-elicitation/,,https://aclanthology.org/W19-5941/
fc-sni-copa_hr,Flan Collection (Super-NaturalInstructions),fc-sni-copa_hr,"['Croatian', 'English']",['human'],[],['COPA dataset'],commercial,,"[{'License': 'BSD 2-Clause License', 'License URL': 'https://people.ict.usc.edu/~gordon/copa.html'}]",,https://huggingface.co/datasets/classla/copa_hr,,https://arxiv.org/abs/2005.00333
fc-sni-crows_pairs,Flan Collection (Super-NaturalInstructions),fc-sni-crows_pairs,['English'],['crowdsourced'],[],[],commercial,,"[{'License': 'CC BY-SA 4.0', 'License URL': 'https://github.com/nyu-mll/crows-pairs#license'}]",,https://github.com/nyu-mll/crows-pairs,https://github.com/nyu-mll/crows-pairs,https://arxiv.org/abs/2010.00133
fc-sni-cuad,Flan Collection (Super-NaturalInstructions),fc-sni-cuad,['English'],['sec.gov/edgar/about'],[],[],commercial,,"[{'License': 'CC BY 4.0', 'License URL': 'https://www.atticusprojectai.org/cuad'}]",,https://huggingface.co/datasets/cuad,,https://arxiv.org/abs/2103.06268
fc-sni-defeasible_nli_atomic,Flan Collection (Super-NaturalInstructions),fc-sni-defeasible_nli_atomic,['English'],['crowdsourced'],[],"['SNLI', 'social chemestry', 'ATOMIC']",commercial,commercial,"[{'License': 'Unspecified', 'License URL': 'https://ojs.aaai.org//index.php/AAAI/article/view/4160, https://www.aclweb.org/anthology/D15-1075/, https://www.aclweb.org/anthology/2020.emnlp-main.48/'}]",MIT License,https://github.com/rudinger/defeasible-nli,https://github.com/rudinger/defeasible-nli,https://aclanthology.org/2020.findings-emnlp.418/
fc-sni-disfl_qa,Flan Collection (Super-NaturalInstructions),fc-sni-disfl_qa,['English'],"['wikipedia.org', 'crowdsourced']",[],['SQuADv2'],commercial,,"[{'License': 'CC BY 4.0', 'License URL': 'https://github.com/google-research-datasets/Disfl-QA#license'}]",,https://github.com/google-research-datasets/Disfl-QA,https://github.com/google-research-datasets/Disfl-QA,https://arxiv.org/abs/2106.04016
fc-sni-e_snli,Flan Collection (Super-NaturalInstructions),fc-sni-e_snli,['English'],['crowdsourced (amt)'],[],['snli'],commercial,commercial,"[{'License': 'Unspecified', 'License URL': 'https://proceedings.neurips.cc/paper_files/paper/2018/file/4c7a167bb329bd92580a99ce422d6fa6-Paper.pdf'}]",MIT License,https://github.com/OanaMariaCamburu/e-SNLI/,https://github.com/OanaMariaCamburu/e-SNLI/,https://arxiv.org/abs/1812.01193
fc-sni-gap,Flan Collection (Super-NaturalInstructions),fc-sni-gap,['English'],['wikipedia.org'],[],[],commercial,commercial,"[{'License': 'Unspecified', 'License URL': 'https://github.com/google-research-datasets/gap-coreference#gap-coreference-dataset'}]",Apache License 2.0,https://github.com/google-research-datasets/gap-coreference,https://github.com/google-research-datasets/gap-coreference,https://arxiv.org/abs/1810.05201
fc-sni-hotpotqa,Flan Collection (Super-NaturalInstructions),fc-sni-hotpotqa,['English'],['wikipedia.org'],[],[],commercial,commercial,"[{'License': 'CC BY-SA 4.0', 'License URL': 'https://github.com/hotpotqa/hotpot#license'}]",Apache License 2.0,https://github.com/hotpotqa/hotpot,https://github.com/hotpotqa/hotpot,https://arxiv.org/abs/1809.09600
fc-sni-human_ratings_of_natural_language_generation_outputs,Flan Collection (Super-NaturalInstructions),fc-sni-human_ratings_of_natural_language_generation_outputs,['English'],[],[],[],commercial,,"[{'License': 'CC BY 4.0', 'License URL': 'https://researchportal.hw.ac.uk/en/datasets/human-ratings-of-natural-language-generation-outputs'}]",,https://researchportal.hw.ac.uk/en/datasets/human-ratings-of-natural-language-generation-outputs,,
fc-sni-hybridqa,Flan Collection (Super-NaturalInstructions),fc-sni-hybridqa,['English'],['wikipedia.org'],[],[],commercial,commercial,"[{'License': 'CC BY 4.0', 'License URL': 'https://hybridqa.github.io/'}]",MIT License,https://github.com/wenhuchen/HybridQA,https://github.com/wenhuchen/HybridQA,https://arxiv.org/abs/2004.07347
fc-sni-iirc,Flan Collection (Super-NaturalInstructions),fc-sni-iirc,['English'],['wikipedia.org'],[],[],commercial,,"[{'License': 'CC BY 4.0', 'License URL': 'https://allenai.org/data/iirc'}]",,https://allenai.org/data/iirc,,https://arxiv.org/abs/2011.07127
fc-sni-jigsaw,Flan Collection (Super-NaturalInstructions),fc-sni-jigsaw,['English'],[],[],[],commercial,,"[{'License': 'CC0 1.0', 'License URL': 'https://www.kaggle.com/competitions/jigsaw-unintended-bias-in-toxicity-classification/overview/faq'}]",,https://www.kaggle.com/c/jigsaw-unintended-bias-in-toxicity-classification,,
fc-sni-librispeech_asr,Flan Collection (Super-NaturalInstructions),"fc-sni-librispeech_asr,",['English'],[],[],[],commercial,,"[{'License': 'CC BY 4.0', 'License URL': 'http://www.openslr.org/12'}]",,https://huggingface.co/datasets/librispeech_asr,,
fc-sni-logic2text,Flan Collection (Super-NaturalInstructions),fc-sni-logic2text,['English'],"['wikipedia.org', 'crowdsourced']",[],['WikiTables'],commercial,commercial,"[{'License': 'Unspecified', 'License URL': 'https://aclanthology.org/2020.findings-emnlp.190.pdf'}]",MIT License,https://github.com/czyssrs/Logic2Text,https://github.com/czyssrs/Logic2Text,https://arxiv.org/abs/2004.14579
fc-sni-numeric_fused_head,Flan Collection (Super-NaturalInstructions),fc-sni-numeric_fused_head,['English'],[],[],[],commercial,commercial,"[{'License': 'Unspecified', 'License URL': 'https://direct.mit.edu/tacl/article/doi/10.1162/tacl_a_00280/43502/Where-s-My-Head-Definition-Data-Set-and-Models-for'}]",MIT License,https://github.com/yanaiela/num_fh,https://github.com/yanaiela/num_fh,
fc-sni-offenseval_dravidian,Flan Collection (Super-NaturalInstructions),fc-sni-offenseval_dravidian,"['Tamil', 'English']",[],[],[],commercial,,"[{'License': 'CC BY 4.0', 'License URL': 'https://aclanthology.org/2021.dravidianlangtech-1.46.pdf'}]",,https://huggingface.co/datasets/offenseval_dravidian,,
fc-sni-open_pi,Flan Collection (Super-NaturalInstructions),fc-sni-open_pi,['English'],['wikihow.com'],[],[],commercial,,"[{'License': 'CC BY 4.0', 'License URL': 'https://allenai.org/data/openpi'}]",,https://allenai.org/data/openpi,,https://arxiv.org/abs/2011.08092
fc-sni-paper_reviews_data_set,Flan Collection (Super-NaturalInstructions),fc-sni-paper_reviews_data_set,"['Spanish', 'English']",[],[],[],commercial,,"[{'License': 'CC BY 4.0', 'License URL': 'https://archive.ics.uci.edu/dataset/410/paper+reviews'}]",,https://archive.ics.uci.edu/ml/datasets/Paper+Reviews,,
fc-sni-poem_sentiment,Flan Collection (Super-NaturalInstructions),fc-sni-poem_sentiment,['English'],['project gutenberg'],[],['Gutenberg Poem Dataset'],commercial,,"[{'License': 'CC BY 4.0', 'License URL': 'https://github.com/google-research-datasets/poem-sentiment/blob/master/LICENSE'}]",,https://huggingface.co/datasets/poem_sentiment,,https://arxiv.org/abs/2011.02686
fc-sni-propara,Flan Collection (Super-NaturalInstructions),fc-sni-propara,['English'],['crowdsourced'],[],[],commercial,,"[{'License': 'Apache License 2.0', 'License URL': 'https://allenai.org/data/propara'}]",,https://arxiv.org/abs/1805.06975,,https://arxiv.org/abs/1805.06975
fc-sni-quarel,Flan Collection (Super-NaturalInstructions),fc-sni-quarel,['English'],[],[],[],commercial,,"[{'License': 'CC BY 4.0', 'License URL': 'https://allenai.org/data/quarel'}]",,https://allenai.org/data/quarel,,
fc-sni-quartz,Flan Collection (Super-NaturalInstructions),fc-sni-quartz,['English'],['crowdsourced'],[],[],commercial,,"[{'License': 'CC BY 4.0', 'License URL': 'https://allenai.org/data/quartz'}]",,https://allenai.org/data/quartz,,https://arxiv.org/abs/1909.03553
fc-sni-quoref,Flan Collection (Super-NaturalInstructions),fc-sni-quoref,['English'],"['wikipedia.org', 'crowdsourced']",[],[],commercial,,"[{'License': 'CC BY 4.0', 'License URL': 'https://allenai.org/data/quoref'}]",,https://paperswithcode.com/dataset/quoref,,https://arxiv.org/abs/1908.05803
fc-sni-ro_sts_parallel,Flan Collection (Super-NaturalInstructions),fc-sni-ro_sts_parallel,"['Romanian', 'English']",[],[],[],commercial,,"[{'License': 'CC BY-SA 4.0', 'License URL': 'https://github.com/dumitrescustefan/RO-STS'}]",,https://huggingface.co/datasets/ro_sts_parallel,,
fc-sni-schema_guided_dstc8,Flan Collection (Super-NaturalInstructions),fc-sni-schema_guided_dstc8,['English'],[],[],[],commercial,,"[{'License': 'CC BY-SA 4.0', 'License URL': 'https://github.com/google-research-datasets/dstc8-schema-guided-dialogue/blob/master/LICENSE.txt'}]",,https://huggingface.co/datasets/schema_guided_dstc8,,https://arxiv.org/abs/2002.01359
fc-sni-scitail,Flan Collection (Super-NaturalInstructions),fc-sni-scitail,['English'],[],[],[],commercial,,"[{'License': 'Apache License 2.0', 'License URL': 'https://allenai.org/data/scitail'}]",,http://data.allenai.org.s3.amazonaws.com/downloads/SciTailV1.1.zip,,https://arxiv.org/abs/1809.05726
fc-sni-scitailv1.1,Flan Collection (Super-NaturalInstructions),fc-sni-scitailv1.1,['English'],[],[],[],commercial,,"[{'License': 'Apache License 2.0', 'License URL': 'https://allenai.org/data/scitail'}]",,http://data.allenai.org/scitail,,https://arxiv.org/abs/1809.05726
fc-sni-semeval_2020_task4,Flan Collection (Super-NaturalInstructions),fc-sni-semeval_2020_task4,['English'],['crowdsourced'],[],[],commercial,,"[{'License': 'CC BY-SA 4.0', 'License URL': 'https://competitions.codalab.org/competitions/21080#learn_the_details-terms_and_conditions'}]",,https://arxiv.org/abs/2007.00236,,https://aclanthology.org/2020.semeval-1.39/
fc-sni-sms_spam_collection_v.1,Flan Collection (Super-NaturalInstructions),fc-sni-sms_spam_collection_v.1,['English'],[],[],[],commercial,,"[{'License': 'CC BY 4.0', 'License URL': 'http://archive.ics.uci.edu/ml/datasets/SMS+Spam+Collection'}]",,https://www.dt.fee.unicamp.br/~tiago/smsspamcollection/,,
fc-sni-splash,Flan Collection (Super-NaturalInstructions),fc-sni-splash,['English'],[],[],[],commercial,,"[{'License': 'CC BY-SA 4.0', 'License URL': 'https://github.com/MSR-LIT/Splash'}]",,https://arxiv.org/pdf/2005.02539.pdf,https://github.com/MSR-LIT/Splash,https://arxiv.org/abs/2005.02539
fc-sni-squad_1.1,Flan Collection (Super-NaturalInstructions),fc-sni-squad_1.1,['English'],['wikipedia.org'],[],[],commercial,,"[{'License': 'CC BY-SA 4.0', 'License URL': 'https://rajpurkar.github.io/SQuAD-explorer/'}]",,https://rajpurkar.github.io/SQuAD-explorer/,https://rajpurkar.github.io/SQuAD-explorer/,https://arxiv.org/abs/1606.05250
fc-sni-squad2.0,Flan Collection (Super-NaturalInstructions),fc-sni-squad2.0,['English'],['crowdsourced (daemo)'],[],[],commercial,,"[{'License': 'CC BY-SA 4.0', 'License URL': 'https://rajpurkar.github.io/SQuAD-explorer/'}]",,https://arxiv.org/pdf/1806.03822.pdf,,https://arxiv.org/abs/1806.03822
fc-sni-strategyqa,Flan Collection (Super-NaturalInstructions),fc-sni-strategyqa,['English'],['wikipedia.org'],[],[],commercial,commercial,"[{'License': 'Unspecified', 'License URL': 'https://arxiv.org/abs/2101.02235'}]",MIT License,https://github.com/eladsegal/strategyqa,https://github.com/eladsegal/strategyqa,https://arxiv.org/abs/2101.02235
fc-sni-universal_dependencies___english_dependency_treebank,Flan Collection (Super-NaturalInstructions),fc-sni-universal_dependencies___english_dependency_treebank,['English'],[],[],[],commercial,commercial,"[{'License': 'CC BY-SA 4.0', 'License URL': 'https://github.com/UniversalDependencies/UD_English-EWT#licensecopyright'}]",CC BY-SA 4.0,https://github.com/UniversalDependencies/UD_English-EWT,https://github.com/UniversalDependencies/UD_English-EWT,
fc-sni-web_questions,Flan Collection (Super-NaturalInstructions),fc-sni-web_questions,['English'],['crowdsourced'],[],[],commercial,,"[{'License': 'CC BY 4.0', 'License URL': 'https://nlp.stanford.edu/software/sempre/'}]",,https://nlp.stanford.edu/software/sempre/,,https://aclanthology.org/D13-1160/
fc-sni-wiki_hop,Flan Collection (Super-NaturalInstructions),fc-sni-wiki_hop,['English'],['wikipedia.org'],[],[],commercial,,"[{'License': 'CC BY-SA 3.0', 'License URL': 'http://qangaroo.cs.ucl.ac.uk/'}]",,https://paperswithcode.com/dataset/wikihop,,https://arxiv.org/abs/1603.07771
fc-sni-wikitext,Flan Collection (Super-NaturalInstructions),fc-sni-wikitext,['English'],['wikipedia.org'],[],[],commercial,,"[{'License': 'CC BY-SA 3.0', 'License URL': 'https://blog.salesforceairesearch.com/the-wikitext-long-term-dependency-language-modeling-dataset/'}]",,https://blog.salesforceairesearch.com/the-wikitext-long-term-dependency-language-modeling-dataset/,,https://arxiv.org/abs/1609.07843
fc-sni-winograd_wsc,Flan Collection (Super-NaturalInstructions),fc-sni-winograd_wsc,['English'],[],[],[],commercial,,"[{'License': 'CC BY 4.0', 'License URL': 'https://cs.nyu.edu/~davise/papers/WinogradSchemas/WS.html'}]",,https://huggingface.co/datasets/winograd_wsc,,
fc-sni-winomt,Flan Collection (Super-NaturalInstructions),fc-sni-winomt,['English'],['grammar-based'],[],"['Winogender', 'WinoBias']",commercial,commercial,"[{'License': 'Unspecified', 'License URL': 'https://github.com/gabrielStanovsky/mt_gender#evaluating-gender-bias-in-machine-translation'}]",MIT License,https://github.com/gabrielStanovsky/mt_gender,https://github.com/gabrielStanovsky/mt_gender,https://arxiv.org/abs/1906.00591
fc-sni-winowhy,Flan Collection (Super-NaturalInstructions),fc-sni-winowhy,['English'],"['winograd schema challenge dataset', 'conceptnet', 'crowdsourced']",[],[],commercial,commercial,"[{'License': 'Unspecified', 'License URL': 'https://arxiv.org/abs/2005.05763'}]",MIT License,https://github.com/HKUST-KnowComp/WinoWhy,https://github.com/HKUST-KnowComp/WinoWhy,https://arxiv.org/abs/2005.05763
fc-sni-wsc_fiexed,Flan Collection (Super-NaturalInstructions),fc-sni-wsc_fiexed,['English'],[],[],[],commercial,,"[{'License': 'CC BY-SA 3.0', 'License URL': 'https://github.com/google-research-datasets/boolean-questions#license'}]",,https://huggingface.co/datasets/super_glue,https://github.com/google-research-datasets/boolean-questions,
fc-sni-wsc; enhanced_wsc,Flan Collection (Super-NaturalInstructions),fc-sni-wsc; enhanced_wsc,['English'],[],[],[],commercial,,"[{'License': 'CC BY 4.0', 'License URL': 'https://cs.nyu.edu/~davise/papers/WinogradSchemas/WS.html'}]",,https://huggingface.co/datasets/winograd_wsc; https://github.com/mhany90/perturbed-wsc,https://huggingface.co/datasets/winograd_wsc; https://github.com/mhany90/perturbed-wsc,
fc-sni-xcopa,Flan Collection (Super-NaturalInstructions),fc-sni-xcopa,"['Haitian', 'English']",['human'],[],['COPA dataset'],commercial,commercial,"[{'License': 'CC BY 4.0', 'License URL': 'https://github.com/cambridgeltl/xcopa/blob/master/LICENSE.md'}]",CC BY 4.0,https://github.com/cambridgeltl/xcopa,https://github.com/cambridgeltl/xcopa,https://arxiv.org/abs/2005.00333
fc-sni-xquad,Flan Collection (Super-NaturalInstructions),fc-sni-xquad,['English'],['wikipedia.org'],[],['Squad'],commercial,,"[{'License': 'CC BY-SA 4.0', 'License URL': 'https://github.com/deepmind/xquad#license'}]",,https://huggingface.co/datasets/viewer/?dataset=xquad,,https://arxiv.org/abs/1910.11856
HelpSteer,HelpSteer,Helpfulness SteerLM,['English'],"['scale.com', 'human']",[],[],commercial,,"[{'License': 'CC BY 4.0', 'License URL': 'https://huggingface.co/datasets/nvidia/HelpSteer'}]",,https://huggingface.co/datasets/nvidia/HelpSteer,,https://arxiv.org/abs/2311.09528
